,URL,result
0,http://people.com.cn,0
1,http://addthis.com,0
2,http://google.co.za,0
3,http://media.tumblr.com,0
4,http://jrj.com.cn,0
5,http://archive.org,0
6,http://hostgator.com,0
7,http://sourceforge.net,0
8,http://lady8844.com,0
9,http://badoo.com,0
10,http://liveinternet.ru,0
11,http://wikihow.com,0
12,http://bankofamerica.com,0
13,http://files.wordpress.com,0
14,http://flipkart.com,0
15,http://statcounter.com,0
16,http://renren.com,0
17,http://spiegel.de,0
18,http://google.co.id,0
19,http://salesforce.com,0
20,http://chase.com,0
21,http://warriorforum.com,0
22,http://buzzfeed.com,0
23,http://jd.com,0
24,http://reference.com,0
25,http://bet365.com,0
26,http://tube8.com,0
27,http://mywebsearch.com,0
28,http://zedo.com,0
29,http://google.com.co,0
30,http://soundcloud.com,0
31,http://beva.com,0
32,http://indeed.com,0
33,http://google.gr,0
34,http://clkmon.com,0
35,http://softonic.com,1
36,http://google.com.vn,0
37,http://nfl.com,0
38,http://mailchimp.com,0
39,http://allegro.pl,0
40,http://qtrax.com,0
41,http://tripadvisor.com,1
42,http://photobucket.com,0
43,http://google.be,0
44,http://mashable.com,0
45,http://skype.com,0
46,http://walmart.com,0
47,http://xyxy.net,0
48,http://nbcnews.com,0
49,http://gamer.com.tw,0
50,http://google.com.ua,0
51,http://taringa.net,0
52,http://empowernetwork.com,0
53,http://bild.de,0
54,http://github.com,0
55,http://thefreedictionary.com,0
56,http://ask.fm,0
57,http://google.co.ve,0
58,http://onet.pl,0
59,http://leboncoin.fr,0
60,http://google.com.ng,0
61,http://yieldmanager.com,0
62,http://nicovideo.jp,0
63,http://pconline.com.cn,0
64,http://wordreference.com,0
65,http://php.net,0
66,http://telegraph.co.uk,0
67,http://wellsfargo.com,0
68,http://uploaded.net,0
69,http://wsj.com,0
70,http://usatoday.com,0
71,http://pandora.com,0
72,http://goo.ne.jp,0
73,http://shutterstock.com,0
74,http://pclady.com.cn,0
75,http://comcast.net,0
76,http://answers.com,1
77,http://google.com.ph,0
78,http://amazon.fr,0
79,http://google.se,0
80,http://rutracker.org,0
81,http://google.cn,0
82,http://aili.com,0
83,http://washingtonpost.com,0
84,http://google.ro,0
85,http://ikea.com,0
86,http://wigetmedia.com,0
87,http://zillow.com,0
88,http://weebly.com,0
89,http://samsung.com,0
90,http://wix.com,1
91,http://ucoz.ru,1
92,http://rambler.ru,0
93,http://naver.jp,0
94,http://9gag.com,0
95,http://qvo6.com,0
96,http://mercadolivre.com.br,0
97,http://stackexchange.com,0
98,http://rediff.com,0
99,http://google.dz,0
100,http://popads.net,1
101,http://google.com.pe,0
102,http://ehow.com,0
103,http://reuters.com,0
104,http://moz.com,0
105,http://gmx.net,0
106,http://ilivid.com,0
107,http://bitauto.com,0
108,http://goodreads.com,0
109,http://google.com.sg,0
110,http://scribd.com,0
111,http://ups.com,0
112,http://google.at,0
113,http://55bbs.com,0
114,http://kaskus.co.id,0
115,http://bleacherreport.com,0
116,http://domaintools.com,0
117,http://wp.pl,0
118,http://loading-delivery1.com,0
119,http://google.ch,0
120,http://free.fr,0
121,http://marca.com,0
122,http://caijing.com.cn,0
123,http://constantcontact.com,0
124,http://avito.ru,0
125,http://businessinsider.com,0
126,http://espncricinfo.com,0
127,http://goal.com,0
128,http://histats.com,0
129,http://douban.com,0
130,http://youjizz.com,0
131,http://hudong.com,0
132,http://blogspot.co.uk,0
133,http://extratorrent.com,0
134,http://56.com,0
135,http://onlylady.com,0
136,http://google.cl,0
137,http://detik.com,0
138,http://olx.in,0
139,http://hp.com,0
140,http://ign.com,0
141,http://codecanyon.net,1
142,http://clickbank.com,0
143,http://hardsextube.com,0
144,http://dmm.co.jp,0
145,http://bitly.com,0
146,http://web.de,0
147,http://libero.it,0
148,http://infusionsoft.com,1
149,http://gsmarena.com,1
150,http://cj.com,0
151,http://google.pt,0
152,http://disqus.com,0
153,http://meetup.com,0
154,http://google.com.bd,0
155,http://enet.com.cn,0
156,http://usps.com,0
157,http://hurriyet.com.tr,0
158,http://in.com,0
159,http://varzesh3.com,1
160,http://bloomberg.com,0
161,http://imageshack.us,0
162,http://thefreecamsecret.com,0
163,http://fedex.com,0
164,http://orange.fr,0
165,http://pchome.net,0
